Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563176,-,-,-,37.78,-122.41,0,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Wind Speed,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,4,0,9.5,0,0,0,1.9,87.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,5,0,9.3,0,0,0,2.1,88.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,6,0,9,0,0,0,2.3,88.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,7,0,8.8,0,0,0,2.5,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,8,0,8.7,0,0,0,2.6,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,9,0,8.6,0,0,0,2.6,91.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,10,0,8.4,0,0,0,2.6,93.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,11,0,8.4,0,0,0,2.7,94.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,12,0,8.5,0,0,0,2.8,95.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,13,0,8.7,0,0,0,2.9,95.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,14,0,8.8,0,0,0,3,96.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,15,0,9.2,0,0,0,3.1,95.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,16,0,10.2,7,39,40,3.5,92.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,17,0,11,130,123,155,4.1,90.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,18,0,11.5,195,171,243,4.3,90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,19,0,12,61,211,239,4.6,89.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,20,0,12.4,57,218,246,4.9,88.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,21,0,12.5,201,213,309,5,88.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,22,0,12.4,18,137,145,5.1,90.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,23,0,12.3,11,100,104,5,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,0,0,12.1,2,47,47,4.9,92.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,1,0,12,0,0,0,5,93.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,2,0,12.1,0,0,0,4.9,93.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,3,0,12,0,0,0,4.6,94.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,4,0,11.9,0,0,0,4.3,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,5,0,11.8,0,0,0,3.9,95.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,6,0,11.8,0,0,0,3.6,95.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,7,0,11.8,0,0,0,3.3,96.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,8,0,11.8,0,0,0,2.8,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,9,0,11.8,0,0,0,2.4,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,10,0,11.8,0,0,0,2,95.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,11,0,11.6,0,0,0,1.6,96.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,12,0,11.1,0,0,0,1.5,97.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,13,0,10.7,0,0,0,1.3,97.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,14,0,10.4,0,0,0,1.3,98.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,15,0,10.4,0,0,0,1.3,97.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,16,0,11.8,0,13,13,1.2,95.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,17,0,12.8,1,68,68,1.5,92.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,18,0,13.3,762,66,349,1.5,89.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,19,0,13.9,0,124,125,1.5,84.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,20,0,14.2,0,20,20,1.5,81.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,21,0,14.3,49,195,218,1.6,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,22,0,14.3,215,190,281,1.7,78.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,23,0,13.8,64,141,161,1.6,80.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
